TRTID10,county,place_name,HOLC,CBD_Dist_ln,hicost_pre,D_suburb,goodpop,goodhu,EHLN,ZCBD_Dist_ln,decade,R_VAC,POP,HU,HU_ln,P_NONWHT,P_UNEMP,P_MANUF,P_RENT,P_A60UP,P_VAC,a_mhmval,a_mrent,a_hinc,HU_CHNG,ZR_VAC,ZPOP,ZHU,ZHU_ln,ZP_NONWHT,ZP_UNEMP,ZP_MANUF,ZP_RENT,ZP_A60UP,ZP_VAC,Za_mhmval,Za_mrent,Za_hinc,ZHU_CHNG,D_1970,D_1980,D_1990,D_2000,majmin,PredictedValue,PearsonResidual
39035101200,Cuyahoga County,Cleveland city,6,8.28453972595271,.241622273907035,0,1,1,0,-1.78602528938815,1970,79,3449.122642,1387.157593,7.23489842031483,.0304214346345065,.0638012078460431,.469870891085979,.749080171938276,.169969292179202,.0569049286240687,7.61665115714819,.0448248268892714,3.8968269814323,0,.527441970144046,-.117927308951737,.332108365278514,.497313216829475,-.346386462890656,1.34488011738781,1.10126729559797,1.8382015388732,.700914032657921,.697982610676198,-1.08189333134129,-.902529586553457,-1.05544020032846, ,1,0,0,0,0,51.9012395864715,.880643677439934
39035101200,Cuyahoga County,Cleveland city,6,8.28453972595271,.241622273907035,0,1,1,0,-1.78602528938815,1980,16,3906.67620096513,1366.28649389744,7.21964204013074,.0273903905579314,.0294452032272318,.117099417799752,.143932464459397,.186388267411744,.0117217631037037,15.0284471977207,.0753754521906311,6.63153281542917,-21,-.644712257693221,-.14568151717965,-.361121261554739,-.0372054355845805,-.998031530382009,-1.00173900986769,-.774640476600485,-1.37208942108703,.0896143944041437,-.676183377109967,-.169853472917432,.349238127615911,.930550864055804,-.477468902857151,0,1,0,0,0,30.1979813203117,-.5785797209993
39035101200,Cuyahoga County,Cleveland city,6,8.28453972595271,.241622273907035,0,1,1,0,-1.78602528938815,1990,90,5012.68586872253,1927.93902538624,7.56423847517049,.231797727535507,.0615433595170418,.125189826119202,.318005171189432,.182455251211083,.0466406023025073,10.4566285515461,.0385975208707219,5.66725154359691,562,-.348900172609382,.776701000934463,.444789937360332,.516926767547625,.491526143601261,-.0995100674928,-.721793897094402,.0656062069005158,-.0870749924423426,-.602182245209586,.0879408350417474,-.394134342793003,.531616571003511,.485655000605687,0,0,1,0,0,133.545730261441,-.583477956186809
39035101200,Cuyahoga County,Cleveland city,6,8.28453972595271,.241622273907035,0,1,1,0,-1.78602528938815,2000,190,5374.00213729977,2371.45426202286,7.77106708606541,.336695181730563,.0314623563225784,.115790148183863,.322813997859103,.21384558639433,.0801509657145117,10.499970324166,.0479626584923552,5.39506117472877,443,-.000767150792801187,.811585685701734,.807667921422795,.830536879394369,.681572334604568,-.493371893143978,-.451119709096225,.0890341905083097,.50845716985536,-.222120131949493,-.0584994067669753,.0277941304562274,.357291473646277,.639918412456575,0,0,0,1,0,191.75407989912,-.015527869403583
39035101200,Cuyahoga County,Cleveland city,6,8.28453972595271,.241622273907035,0,1,1,0,-1.78602528938815,2010,397,5792,2191,7.69211333959547,.892437845303867,.213544018058691,.233065442020666,.519509476031215,.141942771084337,.181195801004108,5.4,.0328,2.1486,-180,.42274808234617,.702434633814246,.25455169447263,.403107384986066,2.52347819634046,2.14887166877844,1.33993340259878,1.10341934420299,-.740724187509782,.737854802911327,-1.05499460202972,-.71158407630234,-1.19277084855741,-.309402045084642,0,0,0,0,1,337.082615269664,.349559932583514
39035101300,Cuyahoga County,Cleveland city,5,8.74010750691423,.180623973727422,0,1,1,0,-1.19427431929502,1970,51,3065.000011,1264,7.1420365747068,.0179445350090082,.0509259259259259,.379094076655052,.786479802143446,.21272430592497,.0403481012658228,9.19697721350466,.0513150036451754,4.28152247315686,0,.0902022168262005,-.339383957238029,.130817647521426,.349816957718773,-.391685818684098,.755114175108672,.180874363750155,2.0019789900335,1.45277887209133,.176229208237299,-.730907772458923,-.578488862210044,-.848522419488405, ,1,0,0,0,0,41.8408124209411,.367496394151137
39035101300,Cuyahoga County,Cleveland city,5,8.74010750691423,.180623973727422,0,1,1,0,-1.19427431929502,1980,50,6584.44815463412,2305.3056640625,7.74283595543075,.0442759393716526,.0538577916771127,.146466264184472,.300132793032303,.185443515419172,.021654396101067,13.4013636029356,.074617558941788,5.50266935106642,1041,-.384352794081746,.869917151570073,.276219609051213,.509685725732883,-.95187275289685,-.396743638395258,-.37206599064472,-.918746415456548,.0772030181972522,-.52275986954055,-.290248826504203,.317031421986115,.409841222270658,.212076271193309,0,1,0,0,0,63.4968001181396,-.266175890915857
39035101300,Cuyahoga County,Cleveland city,5,8.74010750691423,.180623973727422,0,1,1,0,-1.19427431929502,1990,153,3006.99998688947,1337,7.19818357710194,.557366145660128,.0616776318325561,.170026293470755,.288851351351351,.248752910961517,.114435302916978,6.54689227914783,.0344483075421128,3.17987014013538,-968,-.0958406431794323,-.512938782074753,-.445567790720251,-.188854518227461,2.02621995254275,-.0967281600039948,-.151280678828963,-.0986164478668211,.861242488266418,.109674586633548,-.577397373310826,-.592110263968037,-.695797470100793,-.412172758713814,0,0,1,0,1,151.368112652304,.0193091486667552
39035101300,Cuyahoga County,Cleveland city,5,8.74010750691423,.180623973727422,0,1,1,0,-1.19427431929502,2000,163,2935,1334,7.19593722647557,.659625212947189,.0599555884529978,.141732283464567,.332194705380017,.188415672913118,.122188905547226,6.53805348314602,.0417061573033705,3.62242509213481,-3,-.0902419830552105,-.792135441326052,-.710084775411162,-.574889117893394,2.0385515382997,.0408451033359303,-.0627441098741122,.139303511704498,.112418711625842,.238182899943903,-.726283133328313,-.302735700547814,-.547130039185838,-.473398499985152,0,0,0,1,1,148.220456659917,.168992018392905
39035101300,Cuyahoga County,Cleveland city,5,8.74010750691423,.180623973727422,0,1,1,0,-1.19427431929502,2010,157,6090,1976,7.58882987830781,.83448275862069,.193352059925094,.157864190365641,.405717427157779,.116984258492129,.0794534412955466,6.4,.0272,1.9966,642,-.253215948558513,.865932178992187,-.00161363990156939,.192856853533767,2.29084330607212,1.80959570432322,.308863883036979,.551771060590824,-1.12238820408459,-.458665309951607,-.89227821305596,-.96376534739775,-1.27070438804151,.443098166795322,0,0,0,0,1,242.23033301358,-.691101673542623
